Title,Year,Language,Day1_collection_cr,Production Company,Genre,Director,Runtime (min),trailer_title,channel_name,video_id,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment,Production_House_Score_Raw,Production_House_Score,Director_Score_Raw,Director_Score,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days
Raid,2018,Hindi,10.04,"T-Series Super Cassettes Industries Ltd., Panorama Studios","Crime, Thriller",Rajkumar Gupta,128,m6Q7KnXpNOg,The Raid | Official US Trailer HD (2011),Sony Pictures Classics,5637838,30703,1477,44,0.1622,0.0386,8.906391304347826,39.87847455489328,10.616666666666667,20.167253861938136,0,0,0,1,0,1,0,2018,3,4,2212
Bhool Bhulaiyaa 2,2022,Hindi,14.11,"T-Series Super Cassettes Industries Ltd., Cine1 Studios Production","Horror, Comedy",Anees Bazmee,143,J1rOfVst-EQ,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",T-Series,341299801,2677511,87761,50,0.651,0.84555,8.906391304347826,39.87847455489328,13.885,27.759495141120446,0,1,0,0,0,0,1,2022,5,4,18
Mom,2017,Hindi,2.9,"Zee Studios, Mad Films, Third Eye Pictures, BSK Network & Entertainment Pvt. Ltd., Naresh Agarwal Films",Thriller,Ravi Udyawar,147,hctApy_i-qg,MOM - Official Trailer | Sridevi | Nawazuddin Siddiqui | Akshaye Khanna | Hindi Thriller Movie,Zee Studios,16006190,73322,3088,50,0.6715,0.78445,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,0,0,1,0,0,0,2017,7,4,34
Jacqueline I Am Coming,2019,Hindi,0.01,M.D. Production,Drama,Banty Dubey,111,WP-Fy4iMsVQ,"Gevi - Trailer | Sheela, Jacqueline, Aadhavan, Charles Vinoth | Tamil Dhayalan | Balasubramaniam",TrendMusic,1234587,3873,253,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2019,10,4,0
Bajrang Aur Ali,2024,Hindi,0.24,"Utterup Films, Phenomenal Crafts Ltd",Drama,Jaiveer Sharma,122,ZPYRggGZKyE,Bajrang Aur Ali | Official Trailer | In Cinemas Now,Utterup Films,9868110,25863,315,50,0.6256,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2024,6,4,14
Ishqeria,2018,Hindi,0.04,"Yen Movies Production, Swarp Films",Romance,Prerna Wadhawan,118,bd8Fa7N7o5Q,Offical Trailer: Ishqeria | Richa Chadha | Neil Nitin Mukesh,T-Series,3797571,21736,1345,50,0.6022,0.77735,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,1,0,0,2018,9,4,23
Race 3,2018,Hindi,28.5,"Salman Khan Films, Tips Films","Action, Suspense",Remo DSouza,159,xBht9TG7ySw,Race 3 | Official Trailer | Salman Khan | Remo D'Souza | Releasing on 15th June 2018 | #Race3ThisEID,Salman Khan Films,69637689,732949,39455,50,0.2945,0.24305,14.193125,69.90840608326965,8.663776988636364,15.630749131525878,0,0,1,0,0,0,1,2018,6,4,31
Dono,2023,Hindi,0.7,"Rajshri Productions Pvt Ltd, Jio Studios","Romance, Drama",Avnish S. Barjatya,156,3Q38mFO_JZU,"Dono: Official Teaser | Rajveer Deol, Paloma, Avnish S. Barjatya | In Cinemas Soon",Rajshri,10784271,19821,2225,0,,,14.695833333333335,72.76391152345468,8.663776988636364,15.630749131525878,1,0,0,0,1,0,0,2023,10,3,72
Raazi,2018,Hindi,7.53,"Junglee Pictures, Dharma Productions","Patriotic, Thriller",Meghna Gulzar,138,nDbjJVmGV98,"Ã¢ÂÂRaaziÃ¢ÂÂ Official Trailer | Alia Bhatt, Vicky Kaushal | Directed by Meghna Gulzar | 11th May 2018",Junglee Pictures,7908533,62197,2511,50,0.5636,0.73195,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2018,5,4,31
Julie 2,2017,Hindi,1.4,Vijaya Films,"Drama, Romance, Thriller",Sethumadhavan,137,5DrKdVgeIo8,"Julie 2 | Theatrical Trailer | Pahlaj Nihalani | Raai Laxmi, Ravi Kishen, Deepak Shivdasani",Sony music Bharat,58125,154,1,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,1,1,0,0,2017,11,4,0
Uunchai,2022,Hindi,1.81,"Rajshri Productions Pvt Ltd, Mahaveer Jain Films, Boundless Media","Family, Drama",Sooraj Barjatya,169,nS5xqazKipA,"Uunchai - Official Trailer | Amitabh Bachchan, Anupam Kher, Boman Irani",YRF,3917782,70076,1269,50,0.5321,0.6309,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2022,11,4,8
Afwaah,2023,Hindi,0.3,"T-Series Super Cassettes Industries Ltd., Benaras Media Works Production, Anubhav Sinha Productions Pvt Ltd",Drama,Sudhir Mishra,126,0drCO1XmlNU,Afwaah Official Trailer | Nawazuddin | Bhumi | Sumeet | Sudhir M | Anubhav S | In Cinemas 5th May,T-Series,5378653,91456,2832,50,0.5903,0.8243,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2023,5,4,16
Doctor G,2022,Hindi,3.87,Junglee Pictures,"Drama, Comedy",Anubhuti Kashyap,124,hY_e3BhFYBw,"Doctor G | Official Trailer | Ayushmann Khurrana, Rakul Preet Singh, Shefali Shah | Netflix India",Netflix India,4008292,39197,590,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2022,10,4,0
G Kutta Se,2017,Hindi,0.03,SFE International,"Drama, Horror, Social",Rahul Dahiya,103,YVyeXwsvYJ0,Original Ragini | Chillum Haath Mein | G KUTTA SE,G Kutta Se,1484015,11413,292,20,0.3377,0.4215,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2017,6,4,13
Bunty Aur Babli 2,2021,Hindi,2.6,Yash Raj Films,"Comedy, Crime",Varun V. Sharma,133,7tIeexlSBjA,"Luv Ju Song | Bunty Aur Babli 2 | Siddhant C, Sharvari | Arijit Singh | Shankar-Ehsaan-Loy | Amitabh",YRF,40613058,278292,6801,50,0.4629,0.7161,19.490714285714287,100.0,8.663776988636364,15.630749131525878,0,1,0,0,0,1,0,2021,11,4,18
Bombairiya,2019,Hindi,0.02,"Beautiful Bay Entertainment, Kreo Films",Drama,Pia Sukanya,108,beXcTeJfyiw,BOMBAIRIYA-One Mad Day in Mumbai Official Trailer Launch| Best New Film Trailers|#BollywoodHappening,JoinFilms,4568,74,17,15,0.4372,0.4215,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2019,1,4,50
Shivaay,2016,Hindi,10.24,"Ajay Devgn Films, Eros International","Drama, Action",Ajay Devgn,172,CBqdVosM4gU,BOLO HAR HAR HAR  Video Song |  SHIVAAY Title Song |  Ajay Devgn |  Mithoon Badshah | T-Series,T-Series,261011389,1666984,3779,50,0.3666,0.41,1.8858333333333333,0.0,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2016,10,4,45
Kalank,2019,Hindi,21.6,"Nadiadwala Grandson Entertainment, Dharma Productions, Fox Star Studios","Drama, Period, Romance",Abhishek Varman,168,2ZaT6xswCO0,KALANK | Official Trailer | Varun | Aditya Roy | Sanjay | Alia | Sonakshi | Madhuri,Bollywood Pictures,284,1,0,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,1,0,0,0,1,0,1,2019,4,2,29
The Body,2019,Hindi,0.66,"Azure Entertainment, Viacom 18 Motion Pictures","Horror, Thriller",Jeethu Joseph,103,4f9jIdg4rTQ,"The Body | Official Trailer | Rishi Kapoor, Emraan Hashmi, Sobhita Dhulipala, Vedhika | 13th Dec",Viacom18 Studios,36024844,260316,11158,50,0.436,0.59775,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2019,12,4,28
Befikre,2016,Hindi,10.36,Yash Raj Films,"Comedy, Romance",Aditya Chopra,132,Ta5J2CVj5WE,Befikre Movie Official Trailer  |  Ranveer Singh  |  Vaani Kapoor  fun made,Official Movie trailor rockwithkaall,479,0,0,0,,,19.490714285714287,100.0,8.663776988636364,15.630749131525878,0,1,0,0,1,0,0,2016,12,4,144
Toolsidas Junior,2022,Hindi,0.01,"T-Series Super Cassettes Industries Ltd., Ashutosh Gowariker Productions","Sports, Drama",Mridul,130,tV6aF2WOsVU,"Toolsidas Junior (Trailer) | Varun B, Sanjay Dutt, Rajiv K | Mridul, Swanand K, Ashutosh G,Bhushan K",T-Series,15451139,125037,2048,50,0.5149,0.7336,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2022,3,4,13
Student of the Year 2,2019,Hindi,12.06,"Dharma Productions, Fox Star Studios","Romance, Action, Drama",Punit Malhotra,145,zuaLWHiRXkg,Hook Up Song -  Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,Zee Music Company,558501524,2976522,86725,50,0.5992,0.7424,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,1,0,1,0,1,0,0,2019,5,4,10
Sanju,2018,Hindi,34.75,"Vidhu Vinod Chopra Productions, Rajkumar Hirani Films, Fox Star Studios","Biographical, Drama",Rajkumar Hirani,155,1J76wN0TPI4,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,Star Studios,79068723,1051534,78497,50,0.5668,0.68385,10.703333333333335,50.0855417531664,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2018,6,4,30
Sajini Shinde Ka Viral Video,2023,Hindi,0.06,Maddock Films,"Suspense, Thriller",Mikhil Musale,116,AM0JataRut4,SAJINI SHINDE KA VIRAL VIDEO FULL HD HINDI MOVIE #1millionviews #MOVIE #like #subscribetomychannel,rmdv_editz,306517,3700,251,0,,,12.235454545454546,58.78836238720199,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2023,10,4,0
83,2021,Hindi,12.64,"Nadiadwala Grandson Entertainment, Reliance Entertainment, Phantom Films, KA Productions, Kabir Khan Films, 83 Film Ltd, Vibri Media","Biographical, Sports",Kabir Khan,162,QHdkC6Kn0Io,83 | Official Trailer | Hindi | Ranveer Singh | Kabir Khan | IN CINEMAS 24TH DEC,RelianceEntertainment,83904761,1569551,52642,50,0.6013,0.7184,13.258666666666667,64.60045577187063,12.68,24.960315923961442,0,0,0,0,0,0,1,2021,12,4,24
Kaagaz,2021,Hindi,0.005,"Salman Khan Films, The Satish Kaushik Entertainment","Social, Drama",Satish Kaushik,109,6DqSLijSY9I,"Kaagaz Movie Trailer | Pankaj Tripathi, Satish Kaushik | A ZEE5 Original Film | Streaming on ZEE5",ZEE5,13124750,267630,8967,50,0.6148,0.7964,14.193125,69.90840608326965,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2021,1,3,14
Maassab,2021,Hindi,0.04,Purushottam Studios,"Social, Drama",Aditya Om,0,zZ8X1QtjTkU,Maassab Full HD Movie | Sheetal Singh | Shiva Suryavanshi | Chandrabhushan Singh | Aditya Om,ShemarooMe USA,443929,6887,347,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2021,2,4,0
Kissebaaz,2019,Hindi,0.14,"PVR Pictures, Experion Moviez","Drama, Action, Crime",Annant Jaaitpaal,123,ECpKQ8FzRpE,"Ã Â¤ÂÃ Â¤Â® Ã Â¤Â¸Ã Â¥Â Ã Â¤ÂÃ Â¤Â® Ã Â¥Â§Ã Â¥Â¨ Ã Â¤Â¸Ã Â¤Â¾Ã Â¤Â² Ã Â¤ÂÃ Â¥Â Ã Â¤Â²Ã Â¤Â¿Ã Â¤Â¯Ã Â¥Â Ã Â¤ÂÃ Â¤ÂÃ Â¤Â¦Ã Â¤Â° Ã Â¤ÂÃ Â¤Â¾Ã Â¤Â¯Ã Â¥ÂÃ Â¤ÂÃ Â¤Â¾ | Kissebaaz 2019 | Pankaj Tripathi, Evelyn Sharma |  Part 1",Rajshri,10973031,46320,494,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,1,0,2019,6,4,0
Kahan Shuru Kahan Khatam,2024,Hindi,0.93,"Bhanushali Studios, Kathputli Creations","Romance, Drama",Saurabh Dasgupta,106,CaLFmah0xpc,"Kahan Shuru Kahan Khatam (Trailer) Dhvani B, Aashim G, Saurabh D, Laxman Utekar, Vinod B | Sept 20",Hitz Music,12902657,119662,7041,50,0.4077,0.4665,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,1,0,0,2024,9,4,28
Jolly LLB 3,2025,Hindi,12.5,Star Studio,"Comedy, Drama",Subhash Kapoor,157,v1FAaUxF0kg,Teaser | Akshay Kumar | Arshad Warsi | Subhash Kapoor | Jolly LLB 3 | In Cinemas 19th September,Star Studios,36713014,424530,11874,50,0.5403,0.6933,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2025,9,4,38
Ghayal: Once Again,2016,Hindi,7.2,"Sunny Sounds Pvt Ltd, Vijayta Films","Action, Drama",Sunny Deol,128,0UdxNxNArXU,Ghayal Once Again Official Trailer | Sunny Deol | 5th Feb 2016,Vijayta Films,6880320,24522,1932,50,0.6567,0.78755,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2016,2,4,87
Sandeep Aur Pinky Faraar,2021,Hindi,0.06,Yash Raj Films,"Drama, Crime",Dibakar Banerjee,125,vHiLZkR6rSg,Sandeep Aur Pinky Faraar | Official Trailer | Arjun Kapoor | Parineeti Chopra | Dibakar Banerjee,YRF,7741391,130759,7616,50,0.4847,0.6054,19.490714285714287,100.0,8.663776988636364,15.630749131525878,1,0,0,0,0,1,0,2021,3,4,380
Project Marathwada,2016,Hindi,0.03,"Eagle Eye Entertainment, Wadia Productions",Drama,Bhavin Wadia,102,fFmQv_E5K8s,"Project Marathwada Full Movie | Om Puri Superhit Movie | Seema Biswas,Dalip Tahil | Govind Namdev",ShemarooMe USA,206830,1701,62,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2016,6,4,0
Sikandar,2025,Hindi,0.5,Minerva Movietone,"Action, Drama",Sohrab Modi,133,RouIzAuPGGU,"SIKANDAR Official Film Teaser - Salman Khan, Rashmika | Sajid Nadiadwala | A.R. Murugadoss | EID2025",NadiadwalaGrandson,38983791,680110,56872,50,0.3934,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2025,3,4,29
Hukus Bukus,2023,Hindi,0.04,Shining Sun Studios,"Social, Drama","Vinay Bhardwaj, Saumitra Singh",113,ftZhwoCbP5Y,HUKUS BUKUS 2023 Official Teaser| Arun Govil | Darsheel Safary | Article 370|,Shining Sun Studioss,538033,2953,51,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2023,11,4,19
Pride,2024,Hindi,0.005,Omaks Production,"Action, Drama",Pankaj K.R. Virat,49,EmFA0KnSs6Q,[Official Trailer] State of Pride,YouTube Originals,2360723,1749,42,31,0.3127,0.34,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2024,8,4,1908
The Zoya Factor,2019,Hindi,0.7,"Adlabs Films Ltd, Fox Star Studios","Comedy, Sports",Abhishek Sharma,134,tz9TN7ixPW0,The Zoya Factor | Official Trailer | Sonam K Ahuja | Dulquer Salmaan | Dir: Abhishek Sharma | Sep 20,Star Studios,23556312,293546,15977,50,0.5755,0.76575,10.703333333333335,50.0855417531664,6.016666666666667,9.481590460335283,0,1,0,0,0,0,1,2019,9,4,22
Hume Tumse Pyaar Kitna,2019,Hindi,0.05,"Bora Bora Entertainment, Belvie Productions",Romance,Lalit Mohan,151,iEqGMWRKqTE,"Official Trailer: HUME TUMSE PYAAR KITNA | Karanvir Bohra,Priya Banerjee,Sameer Kochar | Lalit Mohan",T-Series,4843521,109179,5276,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,1,0,0,2019,7,4,32
Naam,2024,Hindi,0.08,"Snigdha Movies Pvt Ltd, Roongta Entertainment","Crime, Thriller",Anees Bazmee,136,vQW1zkuO3VM,Naam Official Trailer - Suriavelan | Stephen Zechariah | Ajmal | Suman,360 Entertainment Productions,161809,5145,129,50,0.3226,0.3715,7.963697641509434,34.523745571560404,13.885,27.759495141120446,0,0,0,1,0,1,0,2024,11,4,1451
Mirzya,2016,Hindi,2.2,"Rakeysh Omprakash Mehra Pictures, Cinestaan Film Company Pvt. Ltd.",Romance,Rakeysh Omprakash Mehra,129,pv9yYF5GrWg,MIRZYA Title Song | MIRZYA | Rakeysh Omprakash Mehra | Gulzar | Shankar Ehsaan Loy | T-Series,T-Series,12859575,73125,2373,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,1,0,0,2016,10,4,36
Kisi Ka Bhai Kisi Ki Jaan,2023,Hindi,15.81,Salman Khan Films,"Action, Comedy",Farhad Samji,144,bsi8_9EoYyg,"Kisi Ka Bhai Kisi Ki Jaan - Official Trailer | Salman Khan, Venkatesh D, Pooja Hegde | Farhad Samji",Salman Khan Films,57855595,932274,68958,50,0.2899,0.64275,14.193125,69.90840608326965,15.186666666666667,30.7832281544001,0,1,1,0,0,0,0,2023,4,4,11
Drishyam 2,2022,Hindi,15.38,"T-Series Super Cassettes Industries Ltd., Viacom 18 Motion Pictures, Panorama Studios","Crime, Thriller",Abhishek Pathak,142,0f-nd1uGsjQ,Drishyam 2 - Official Trailer (Malayalam) | Mohanlal | Jeethu Joseph | Amazon Original Movie| Feb 19,Prime Video India,23195974,340482,66728,50,0.4174,0.5571,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,0,0,1,0,1,0,2022,11,4,650
Shaila,2025,Hindi,0.03,Riyom Films,"Romance, Musical",Saki Shah,95,K_hyFjKhb00,"Silaa - Official Trailer | Harshavardhan Rane, Sadia Khateeb | Silaa Trailer | New Movie 2025",Next Frame Films,147014,2283,62,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,1,0,1,2025,2,4,0
Global Baba,2016,Hindi,0.07,Vijay Arts,Drama,Manoj Siddheshwari Tiwari,118,aeSLue2mjt4,Global Baba Hindi Movie | Sanjay Mishra | Pankaj Tripathi | Sandeepa Dhar | Bollywood Latest Movie,Shemaroo Movies,7270004,53212,1733,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2016,3,4,0
Ishq Click,2016,Hindi,0.05,Algol Films,Drama,Anil Balani,138,b6ZfpWkCITk,Ishq Click,A.W.G movies,106721,1496,64,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2016,7,4,0
Rock On 2,2016,Hindi,2.02,"Excel Entertainment, Eros International","Drama, Musical",Shujaat Saudagar,139,lpHSNxRj27Q,Ã¢ÂÂRock On!! 2Ã¢ÂÂ Trailer,Nu Metro,8990,50,0,0,,,1.8858333333333333,0.0,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2016,11,4,4
Dedh Lakh Ka Dulha,2022,Hindi,0.01,"KK Films Creations, APS Pictures",Comedy,Abhay Pratap Singh,128,e1cx2lF_JpQ,"Dedh Lakh Ka Dulha  (Official Trailer) Akhilendra Mishra, Abhay Singh, Ishtiyaq Khan, Dhruv Chheda,",KK Music World,128195,1191,64,50,0.3877,0.4215,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,1,0,0,0,0,0,2022,12,4,18
Tu Meri Poori Kahani,2025,Hindi,0.08,Indira Entertainment,"Romance, Drama",Suhrita Das,138,7RNMPvBvcXc,"Tu Meri Poori Kahani Official Trailer | Mahesh Bhatt, Vikram B, Suhrita, Hirranya, Arhaan | 26 Sept",Saregama Music,5330693,17869,967,50,0.5144,0.68995,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,1,0,0,2025,9,4,9
Pataakha,2018,Hindi,0.8,"KYTA Productions, Vishal Bhardwaj Pictures Pvt Ltd, B4U Motion Pictures","Action, Comedy, Drama",Vishal Bhardwaj,134,cDsfX4CK9EY,Pataakha | Official Trailer | Vishal Bhardwaj | Sanya Malhotra | Radhika Madan | Sunil Grover,B4U Motion Pictures,19768635,190190,6756,50,0.5536,0.6529,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,1,0,0,0,0,2018,9,4,45
Goldfish,2023,Hindi,0.1,Splendid Films,Drama,Pushan Kripalani,99,pbZu0rUaXqw,"Operation Gold Fish Theatrical Trailer || Aadi, Sasha Chettri, Nitya Naresh || Adivi Sai Kiran",Aditya Music,785384,15759,492,50,0.5051,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2023,9,4,1425
7 Hours To Go,2016,Hindi,0.45,Krian Media,"Crime, Action, Thriller",Saurabh Varma,115,ZmkoRZNlzQo,7 HOURS TO GO : OFFICIAL TRAILER,Krian Pictures,1845178,2884,85,30,0.3104,0.43095,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,1,1,0,1,0,2016,6,4,30
Ladki: Dragon Girl,2022,Hindi,0.02,Artsee Media Production,"Action, Romance",Ram Gopal Varma,133,0YSaUmmlZ2I,Enter The Girl Dragon Trailer 2 | RGV | India's First Martial Arts Film | Pooja Bhalekar,RGV,5575878,85016,3527,50,0.3207,0.3612,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,1,0,1,0,0,2022,7,4,945
Judgementall Hai Kya,2019,Hindi,4.5,"Balaji Motion Pictures, Karma Media Entertainment","Action, Crime, Drama, Suspense, Thriller",Prakash Kovelamudi,121,BywLe4m2j2I,"Judgementall Hai Kya Official Trailer | Kangana Ranaut, Rajkummar Rao | 26th July 2019",balajimotionpictures,27038114,368058,13719,50,0.5105,0.6124,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,1,0,1,1,2019,7,4,24
Bhediya,2022,Hindi,7.48,"Maddock Films, Jio Studios","Horror, Comedy",Amar Kaushik,156,d_BPlvbw_ok,Bhediya: Official Trailer 4K | Varun Dhawan | Kriti Sanon | Dinesh Vijan | Amar Kaushik | 25th Nov,Maddock Films,59290016,672059,30008,50,0.4338,0.70935,14.695833333333335,72.76391152345468,8.663776988636364,15.630749131525878,0,1,0,0,0,0,1,2022,11,3,36
Pathaan,2023,Hindi,57.0,Yash Raj Films,"Action, Thriller",Siddharth Anand,146,YxWlaYCA8MU,"Jhoome Jo Pathaan Song | Shah Rukh Khan, Deepika | Vishal & Sheykhar, Arijit Singh, Sukriti, Kumaar",YRF,1189798304,7061306,250339,50,0.3041,0.53945,19.490714285714287,100.0,44.98333333333333,100.0,0,0,1,1,0,0,0,2023,1,2,34
The Sky Is Pink,2019,Hindi,2.5,"RSVP, Roy Kapur Films, Purple Pebble Pictures","Family, Drama",Shonali Bose,149,OnBN5b48HBc,The Sky Is Pink | Official Trailer | Priyanka Chopra | Farhan Akhtar | Zaira Wasim | Netflix India,Netflix India,796583,13323,237,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2019,10,4,0
Bhool Bhulaiyaa 3,2024,Hindi,36.6,T-Series Super Cassettes Industries Ltd.,"Horror, Comedy",Anees Bazmee,158,Cus-6cnyt1s,"Bhool Bhulaiyaa 3 - Title Track | Kartik A | Pitbull, Diljit, Neeraj S, Tanishk, Pritam | Bhushan K",T-Series,128634109,1106593,63703,0,,,8.906391304347826,39.87847455489328,13.885,27.759495141120446,0,1,0,0,0,0,1,2024,11,4,16
The Lady Killer,2023,Hindi,0.003,"T-Series Super Cassettes Industries Ltd., Karma Media Entertainment","Crime, Thriller",Ajay Bahl,125,w8F4yVGv1eA,"The Lady Killer (Full Movie): Arjun Kapoor, Bhumi Pednekar | Ajay Bahl | T-Series",T-Series,5000306,52856,4858,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,0,0,1,0,1,0,2023,11,4,0
Monsoon Shootout,2017,Hindi,0.6,"DAR Motion Pictures, Sikhya Entertainment",Thriller,Amit Kumar,88,cBrV9rPm62c,Monsoon Shootout | Official Interactive Trailer | Nawazuddin | Vijay | Releasing on 15th Dec,Sikhya Entertainment,3593289,5781,294,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,1,0,0,0,2017,11,1,0
Vodka Diaries,2018,Hindi,0.3,"K'Scope Entertainment Pvt. Ltd, Vishalraj Films And Production Pvt. Ltd.",Drama,Kushal Shrivastav,117,DHxnbfh1_8M,Vodka Diaries | Official Trailer | Kay Kay Menon | Raima Sen | Mandira Bedi | 19th January 2018,Vodka Diaries,4204799,23995,1041,50,0.5428,0.71325,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2018,1,4,11
Genius,2018,Hindi,0.65,"Soham Rockstar Entertainment, Anil Sharma Productions",Drama,Anil Sharma,164,Yf2CzzkWYms,"Genius Official Trailer | Utkarsh Sharma, Ishita, Nawazuddin | Anil Sharma | Bollywood Movie 2018",Tips Official,41083946,285596,13065,50,0.565,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2018,8,4,31
Rocket Gang,2022,Hindi,0.25,Zee Studios,"Dance, Children",Bosco Martis,139,kqp2kUkXpCs,Rocket Gang | Official Trailer | Bosco Martis | Aditya Seal | Nikita Dutta | Releasing on 11.11.22,Zee Studios,5858962,14639,0,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,0,0,0,0,0,1,2022,11,4,28
Shaadi Teri Bajayenge Hum Band,2018,Hindi,0.12,Rangrezza Films,Comedy,Gurpreet Sondh,135,Eua_7ybb21E,Shaadi Teri Bajayenge Hum Band (HD) - Rahul Bagga - Rajpal Yadav - Bollywood Comedy Movie,Shemaroo Movies,2725042,22511,311,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,1,0,0,0,0,0,2018,3,4,0
The Final Exit,2017,Hindi,0.1,Mars Entertainment,"Drama, Horror",Dhwanil Mehta,119,Hux3uEsesEc,The Last Exit | Official Trailer |  Tubi Original,Tubi,83156,278,44,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2017,9,4,0
Badhaai Do,2022,Hindi,1.65,"Junglee Pictures, Zee Studios","Romance, Comedy",Harshavardhan Kulkarni,147,Jdr2VkaueOY,"Badhaai Do Official Trailer | Rajkummar R, Bhumi P | Harshavardhan Kulkarni | In Cinemas 11th Feb",Netflix new movies,45,5,0,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,1,0,0,1,0,0,2022,2,4,0
Kill,2024,Hindi,1.35,"Dharma Productions, Sikhya Entertainment, LionsGate Entertainment, Roadside Attractions","Action, Thriller",Nikhil Nagesh Bhat,106,cVyNeDYu9Kk,"Kill (2024) Official Teaser Trailer -  Lakshya, Tanya Maniktala, Raghav Juyal",Lionsgate Movies,12195907,86732,3677,41,0.1599,0.3612,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,0,0,1,1,0,0,0,2024,7,4,92
